nroInscricao,nota,data,cidade,nomeEscola
1936,409.9,22/11/2009,Petrolina,ERNESTO SCHIMIDT CORONE
1979,772.2,23/11/2009,Belo Horizonte,DECIO PRATA PREFEITO
1937,458.9,24/11/2009,Candeias,JOAO RODRIGUES FERNANDE
1841,655.6,25/11/2009,Belford Roxo,MARIA PEREIRA DE BRITO 
1867,647.1,26/11/2009,Maceio,TEREZA VALVERDE CARDOSO
1868,472.4,27/11/2009,,TONICO BARAO
1869,,28/11/2009,Goianesia,CICERO CASTILHO CUNHA
1870,339,29/11/2009,Maraba,JOSE ANTONIO DE CASTILH
1938,,30/11/2009,Florianopolis,
1871,,01/12/2009,Bento Goncalves,
1980,487.9,02/12/2009,Belo Horizonte,WALDOMIRO LOJUDICE
1939,550.5,03/12/2009,Belo Horizonte,ARNO HAUSSER
1872,472.4,04/12/2009,Joao Pessoa,VANIR FERRERO MORAES PR
1940,,05/12/2009,Cuiaba,FRANCISCO SCHMIDT CEL
1941,546.1,06/12/2009,,SILVERIO DA CUNHA LACER
1873,434.6,07/12/2009,Arvoredo,JOSE FIRPO
1981,,08/12/2009,Nova Fatima,HELEN KELLER
1942,,09/12/2009,Sao Paulo,TAIEKA TAKAHASHI GIMENE
1982,514.3,10/12/2009,Vargem Grande do S,MARIANA MILITAO RONDON 
1943,556.4,11/12/2009,Maringa,ELMOZA ANTONIO JOAO PRO
1874,462.1,12/12/2009,Caruaru,PERCIO GOMES GONZALES D
1944,471.9,13/12/2009,,JOSE EDSON MOYSES PROF
1875,686.2,14/12/2009,Duque de Caxias,JOSE MARCELLO DE ALMEID
1945,627.8,15/12/2009,Jaboatao dos Guara,GUILHERME BUZINARO PREF
1876,378.3,16/12/2009,Sao Jeronimo,PEDRO LEITE RIBEIRO
1877,,,Sao Bernardo do Ca,TERUYO KIKUTA PROFA
1878,579.9,,Contagem,DURVALINO GRION PROF
1946,467.1,,Palmas,EURICO LEITE DE MORAIS 
1879,387.1,20/12/2009,Comendador Levy Ga,JOEL AGUIAR PROF
1947,552.3,21/12/2009,Rio de Janeiro,EUDECIO LUIZ VICENTE PR
1880,376.3,22/12/2009,Sao Paulo,HERVAL BELLUSCI ENGENHE
1881,535,23/12/2009,,FLEURIDES CAVALLINI MEN
1882,,24/12/2009,Ibipora,OCTAVIANO JOSE CORREA
1883,,,Uberlandia,LUCIO ANTUNES DOM
1948,392.4,26/12/2009,Sao Paulo,CASIMIRA NASCIMENTO DA 
1884,597.2,,Campina Grande,CARMELINA BARBOSA PROFA
1885,319.3,28/12/2009,Rio de Janeiro,JULIETA GUEDES MENDONCA
1886,654.4,29/12/2009,,9 DE JULHO
1887,448.8,,Carapicuiba,ISAC PEREIRA GARCEZ ENG
1983,455,31/12/2009,,OSCAR PEDROSO HORTA MIN
1888,,01/01/2010,Santa Teresinha,GERALDO PECORARI PROF
1889,463.6,,Curitiba,ORLANDO GUIRADO BRAGA P
1890,,03/01/2010,Ananindeua,JACINTO PERNAS GOMATO
1891,533.4,04/01/2010,,FERDINANDO IENNY
1892,,05/01/2010,Sao Paulo,JOAO BRASIO
1893,,,,SALVADOR RAMOS DE MOURA
1894,438.8,,Brasilia,JOAO BERNARDI
1984,412.8,08/01/2010,Salvador,TUPI PAULISTA
1895,,09/01/2010,Novo Hamburgo,IDENE RODRIGUES DOS SAN
1985,,10/01/2010,,HANS WIRTH
1896,873.2,11/01/2010,,WALDOMIRO SAMPAIO DE SO
1897,576.5,12/01/2010,Gameleira,FELIPPE URTADO SERRATO 
1898,465.6,13/01/2010,Niteroi,BENJAMIN CONSTANT
2125,425.4,14/01/2010,Petrolina,PARAPUA DE
1842,,15/01/2010,,IRALDO ANTONIO MARTINS 
2348,387.8,16/01/2010,Brasilia,GINEZ CARMONA MARTINEZ 
1900,643.1,17/01/2010,,OSVALDO MARTINS
2073,,18/01/2010,Uberaba,DOM BOSCO
2242,592,19/01/2010,Araguaina,MARIA HELENA BASSO ANTU
1786,532.4,,Ceu Azul,AMALIA VALENTINA MARSIG
2029,,,Fortaleza,JOSE GIORGI
2074,518.4,21/01/2010,,SERAPHINA ETELVINA PAGL
2021,,22/01/2010,Belo Horizonte,FERNANDO COSTA
2022,457.8,23/01/2010,Salvador,MARIA LUIZA BASTOS PROF
2023,549.1,24/01/2010,Sao Paulo,JOAO ALFREDO DA SILVA
2295,,,Londrina,CATARINA MARTINS ARTERO
2243,,26/01/2010,Ribeirao das Neves,ANNA ANTONIO PROFESSORA
2024,483.2,27/01/2010,,JOAO SEBASTIAO LISBOA
2075,382.3,28/01/2010,Olinda,FRANCISCA DE ALMEIDA GO
2177,461.2,29/01/2010,Ipatinga,MARIA LUIZA FORMOZINHO 
392,525.8,,Sao Paulo,JOSE SOARES MARCONDES C
2076,801.8,31/01/2010,Cuiaba,CELESTINA DE CAMPOS TOL
2077,513.2,01/02/2010,Manaus,FILOMENA SCATENA CHRIST
2025,748.3,02/02/2010,Fortaleza,MIGUEL OMAR BARRETO PRO
2178,698.8,03/02/2010,Marilia,HUGO MIELE PROFESSOR
2179,408,04/02/2010,Belo Horizonte,ANGELICA DE OLIVEIRA PR
2078,,05/02/2010,Santa Barbara d'Oe,PEDRO TOFANO VEREADOR
2180,,06/02/2010,Campo Grande,TANNEL ABBUD COMENDADOR
2079,471,,,ADOLPHO ARRUDA MELLO PR
2026,646.4,08/02/2010,,ANIBAL VITOR FAVA
2244,589.4,09/02/2010,Rio de Janeiro,JOSE FOZ DOUTOR
2080,391.7,10/02/2010,Salvador,MARIETTA FERRAZ DE ASSU
2296,332.9,11/02/2010,Sao Paulo,VEREADOR JOSE MOLINA
1676,448.9,12/02/2010,Penedo,
2297,681.9,13/02/2010,Manaus,FLORIVALDO LEAL
2181,780.2,14/02/2010,Sorocaba,SARRION MONSENHOR
2182,,,Aracatuba,CARLOS BRAGA DR
2126,361.5,16/02/2010,,MARREY JUNIOR DOUTOR
1623,662.9,17/02/2010,Sao Luis,ANTONIO FIORAVANTE DE M
2298,388.6,,Campo Grande,FRANCISCO PIERGENTILE
1787,416.6,,Florianopolis,ROSA FRANCISCA MANO
1957,559.3,20/02/2010,,JOSE AMADOR
1958,,21/02/2010,Sao Paulo,JOSE SANCHES POSTIGO DE
2127,,22/02/2010,Sao Vicente,ARTHUR RIBEIRO
2128,,23/02/2010,,ANTONIO MARINHO DE CARV
2349,,24/02/2010,Rio Claro,ISABEL CAMPOS DOUTORA
1788,348.1,,,ORLANDO DRUMOND MURGEL 
1789,376.9,,Fortaleza,18 DE JUNHO
2183,454,27/02/2010,Fortaleza,ANTONIO DE CARVALHO LEI
1790,,,,MARIA APARECIDA QUEIROZ
1735,,01/03/2010,,ALFREDO MARCONDES CABRA
2245,741.3,02/03/2010,,SHIGUETOSHI YOSHIHARA
2246,,03/03/2010,Araguaina,JOAO DA CRUZ MELLAO
2081,,04/03/2010,Serra do Ramalho,ALVARO COELHO DR
2082,,05/03/2010,Sao Jose do Rio Pr,SANTA DUARTE D INCAO PR
2129,403.4,,Volta Redonda,BAIRRO SANTA RITA DO PO
2027,491.1,07/03/2010,Sao Paulo,JACINTO DE OLIVEIRA CAM
2083,617,,Rio Pardo,
2084,706.8,09/03/2010,Manaus,JOAO PINHEIRO CORREA
2085,,10/03/2010,,MARABA PAULISTA
2086,,11/03/2010,,SALVADOR MORENO MUNHOZ
2028,474.1,12/03/2010,Salvador,JOAO RAMALHO DE
2184,667.1,13/03/2010,Aripuana,FRANCISCO FRANCO DEPUTA
2087,795,15/03/2010,Brasilia,JOAO PEREZ SANTOS
2030,423.5,16/03/2010,Luziania,JOAO BATISTA BERBET
2031,561.3,,Sao Paulo,ALBERTO SANTOS DUMONT
2247,371.6,,Betim,BENEDICTO MARTINS BARBO
2185,568.7,19/03/2010,Ribeirao Preto,JOAO GOMES MARTINS CORO
2248,540.7,,Aparecida de Goian,ANTONIO DE ALMEIDA PRAD
2032,359.7,21/03/2010,,ANTONIO JOSE DOS SANTOS
2088,,22/03/2010,Conceicao do Jacui,RAGE ANDERAOS PROF
2299,488.9,23/03/2010,,OLGA YASUKO YAMASHITA P
2089,358.8,24/03/2010,Catanduva,GILDASIO SILVA LIMA PRO
2090,653.3,,Vinhedo,MOACYR TEIXEIRA DOUTOR
2186,,26/03/2010,,MARIA ERNESTINA NATIVID
2033,,27/03/2010,Porto Alegre,DALVA LELLIS GARCIA PRA
2187,509.5,28/03/2010,Tatui,ZEZINHO PORTUGAL
2034,,29/03/2010,Rio de Janeiro,AYMORE DO BRASIL PROFES
2035,810.3,30/03/2010,Brasilia,MACEDO SOARES EMBAIXADO
2036,841.3,31/03/2010,Feira de Santana,ANTONIO OLYMPIO DOUTOR
2091,583.1,01/04/2010,Uberaba,MARIA FALCONI DE FELICI
2300,513.5,02/04/2010,,ANSELMO BISPO DOS SANTO
2188,396.2,03/04/2010,Ponte Nova,BENEDITO ORTIZ CORONEL
2037,593.3,04/04/2010,Diadema,DOLORES MARTINS DE CAST
2038,466,05/04/2010,Palmas,JOSEPHA CASTRO PROFESSO
2092,671.7,,Salvador,ADELIA FRASCINO DONA
2039,549.4,07/04/2010,Diadema,ODULFO DE OLIVEIRA GUIM
2093,629.6,08/04/2010,,ABILIO MANOEL
2094,410.3,09/04/2010,Osasco,JOSE FRANCISCO PASCHOAL
2189,718.4,10/04/2010,Sao Paulo,
2095,490.4,11/04/2010,Guanhaes,ORMINDA GUIMARAES COTRI
2040,632.4,12/04/2010,Salto do Lontra,ELISIO DE CASTRO DOUTOR
2041,568.9,,Belo Horizonte,DOMINGOS PARO
2042,,14/04/2010,Sao Paulo,DOLORES BELEM NOVAES PR
2190,,15/04/2010,,NENA GIANNASI BUCK PROF
2043,610.9,16/04/2010,Simoes Filho,VILLA LOBOS MAESTRO
2044,533,,,JOAQUIM DE ABREU SAMPAI
2045,,18/04/2010,Osasco,PARAISO CAVALCANTI DOUT
2096,342.6,19/04/2010,,GUSTAVO FERNANDO KUHLMA
2097,407.1,20/04/2010,,MAURICIO MONTECCHI
2098,699.9,21/04/2010,Curitiba,ABILIO ALVES MARQUES
2046,431.7,22/04/2010,Poa,CAETANO PETRAGLIA
2191,534.7,,Brasilia,AMALIA PIMENTEL PROFA
2047,506.2,24/04/2010,Frecheirinha,JOAO MARCIANO DE ALMEID
2130,449.3,25/04/2010,Recife,OTAVIO MARTINS DE SOUZA
1736,,26/04/2010,Rio Grande,JULIO CARDOSO DR ETE
1568,471.6,27/04/2010,Vitorino,CARMEM MUNHOZ COELHO PR
2350,520.6,,Matutina,SUZANA RIBEIRO SANDOVAL
1624,,29/04/2010,Paracatu,ANA MARIA JUNQUEIRA PRO
2301,565.9,30/04/2010,Jose Bonifacio,JOSE DOS REIS MIRANDA F
1625,467,,Belo Horizonte,JOAO DE FARIA
1677,405.7,02/05/2010,,ORLIK LUZ DR
1959,403.8,03/05/2010,Votuporanga,FRANCISCO MARTINS CORON
2351,417.2,04/05/2010,Santana,ANTONIO BARREIROS PROFE
2192,,05/05/2010,Viamao,ANGELO SCARABUCCI
2249,730,,Catu,SILVIO DE ALMEIDA
1791,497.7,07/05/2010,Belo Horizonte,DAVID CARNEIRO EWBANK
2099,465,,Belo Horizonte,WASHINGTON LUIZ DOUTOR
1901,377.6,,Rio de Janeiro,DANTE GUEDINE FILHO PRO
1678,774.9,10/05/2010,Belo Horizonte,JOAQUIM ALVES FERREIRA 
2352,641.8,,Brasilia,HOMERO ALVES
1960,402.9,12/05/2010,Parobe,ANTONIO DE PADUA CARDOS
1679,513.6,13/05/2010,,CANDIDO PORTINARI
1680,360.2,14/05/2010,Encantado,MACIEL DE CASTRO JUNIOR
1569,342.5,15/05/2010,Tumiritinga,MACARIO DE ALMEIDA CONE
2353,611,16/05/2010,Niteroi,ISAAC VILELA DE ANDRADE
1681,,17/05/2010,Cascavel,HENRIQUE LESPINASSE PRO
2354,483,18/05/2010,,OCEANOPOLIS CRECHE MUNI
1843,386.7,19/05/2010,Marinopolis,JORGE FALEIROS
1902,560.8,,Goiania,ARTUR BELEM JUNIOR
1626,,21/05/2010,Cassia,JOSE VICENTE MACHADO NE
2048,,22/05/2010,,BARAO DE FRANCA
1627,492.6,23/05/2010,Macau,TORQUATO CALEIRO
2049,460.5,24/05/2010,Sao Paulo,OLIVIO PEIXOTO PROF
2193,583.2,25/05/2010,Salvador,JOSE RIBEIRO DE BARROS 
2194,,26/05/2010,Teofilo Otoni,NENE LOURENCO
2195,550.2,,,HENRIQUETA RIVERA MIRAN
2050,459.5,28/05/2010,Curitiba,MARIO D ELIA
2196,,29/05/2010,Suzano,NADEIDE DE LOURDE OLIVE
2100,455.4,,Niteroi,CARMELINO CORREA JR PRO
2197,371.8,31/05/2010,Teresina,JERONIMO BARBOSA SANDOV
2051,398.2,01/06/2010,Manaus,WILLIAN AMIN DOUTOR
2052,368,,Erechim,JARDIM RIO DA GRANJA EM
2101,536.7,,,MARTINHO SYLVIO BIZUTTI
2198,682,04/06/2010,,ISAIAS MARTINELLI GAMA 
2053,572.2,05/06/2010,Vera Cruz,RONDON MARECHAL
2102,,06/06/2010,Curitiba,FABIO JOSE DE ARAUJO
2054,493,07/06/2010,Petropolis,HUMBERTO FRANCA
2103,,08/06/2010,Goiania,FRANCISCO RIBEIRO SOARE
1792,,09/06/2010,Batatais,
2055,512.9,10/06/2010,Sao Bernardo do Ca,ANTONIO JUNQUEIRA DA VE
1737,,11/06/2010,Salvador,LAURINDO ALVES QUEIROZ 
1682,463,12/06/2010,Rio de Janeiro,MARIANA GRELLET SEIXAS 
2199,,,Canoas,ESTEVAM FERRI PROFESSOR
1570,489.5,14/06/2010,Corupa,ISAIAS JOSE FERREIRA DO
1793,604.3,15/06/2010,Taquara,RAUL DO PRADO VIANNA PR
1571,400.4,,Aracaju,CONSTANTE OMETTO
2302,442.1,17/06/2010,Brasilia,NESTOR GOMES DE ARAUJO 
1572,404.2,18/06/2010,,JOAQUIM BATISTA DOUTOR
1794,361.1,19/06/2010,Sao Paulo,BRUNO PIERONI PROFESSOR
1795,,20/06/2010,Rio de Janeiro,AURELIO ARROBAS MARTINS
2303,442.9,21/06/2010,,LUIZ ZACHARIAS DE LIMA 
2304,383.3,22/06/2010,,SALVADOR GOGLIANO JUNIO
1796,837.2,,Cristalina,JOSE PACIFICO
2056,,24/06/2010,,WINSTON CHURCHILL
1738,534.1,25/06/2010,,JOSE LUIZ DE SIQUEIRA P
2200,,26/06/2010,Senador Canedo,ANTONIO FURLAN JUNIOR D
2305,483.3,27/06/2010,Tres Barras do Par,JEREMIAS DE PAULA EDUAR
2201,503.2,28/06/2010,Fortaleza,LUIZ LATORRACA PROFESSO
1739,456.7,29/06/2010,,ROSA MARI DE SOUZA SIMI
1628,587.1,30/06/2010,Varzea Paulista,ANTONIO JOSE PEDROSO PR
2202,561.8,01/07/2010,Lagarto,FABIO BARRETO
2057,,02/07/2010,Sao Paulo,HANS LUDWIG SCHMIDT EM
2104,457,,,BARROS CONEGO
1797,450.3,04/07/2010,Santa Maria,JOSE ALEIXO DA SILVA PA
1798,599.1,05/07/2010,,ANTONIO DIEDERICHSEN
1799,467.9,06/07/2010,Francisco Morato,ALBERTO SANTOS DUMONT
2306,335.3,07/07/2010,Teresina,JOSE LIMA PEDREIRA DE F
2355,320.1,08/07/2010,Recife,WALTER FERREIRA PROFESS
1961,463.4,,,GLETE DE ALCANTARA PROF
2131,,10/07/2010,Goiania,HERMINIA GUGLIANO PROFE
2058,,11/07/2010,Campo Grande,AMELIA DOS SANTOS MUSA 
2105,627.6,,Santa Teresa,SINHA JUNQUEIRA DONA
1573,,13/07/2010,,ALCIDES CORREA PROFESSO
1574,,14/07/2010,Ibicarai,RUBEN CLAUDIO MOREIRA P
1575,,15/07/2010,Bauru,JOAO AUGUSTO DE MELLO P
2307,455,16/07/2010,,FRANCISCO BONFIM
1576,,17/07/2010,Paracatu,ALBERTO JOSE GONCALVES 
1740,,18/07/2010,Sobral,MARIO LINS DOUTOR
2106,733.8,19/07/2010,Mogi das Cruzes,JOSE COSTA DEPUTADO
2203,,,,FRANCISCO DA CUNHA JUNQ
2059,427.2,21/07/2010,Sao Paulo,GUIMARAES JUNIOR DOUTOR
1629,,22/07/2010,Jequie,MEIRA JUNIOR DOUTOR
2356,618.5,23/07/2010,Araras,EUGENIA VILHENA DE MORA
1630,441.1,,Sapucaia do Sul,SEBASTIAO FERNANDES PAL
2357,465.6,25/07/2010,Belem,ALPHEU DOMINIGUETTI PRO
1683,376.6,26/07/2010,,CID DE OLIVEIRA LEITE P
1741,477,27/07/2010,Petrolina,JOSE MARTIMIANO DA SILV
2358,,28/07/2010,Manaus,OTONIEL MOTA
1800,540.8,29/07/2010,Belo Horizonte,EDGARDO CAJADO DOUTOR
1801,386.6,,Brasilia,GAVINO VIRDES JORNALIST
2250,,31/07/2010,Sao Paulo,PLINIO BERARDO PROFESSO
2107,516.9,01/08/2010,,HELY LOPES MEIRELLES
2060,631.4,02/08/2010,Sertanopolis,TOMAS ALBERTO WHATELLY 
2108,452.2,03/08/2010,,JOAO RODRIGUES GUIAO DO
2204,335.2,04/08/2010,,MESSIAS DA FONSECA DOUT
1577,410.6,,,RITA FERRAZ CASELLI PRO
2109,,06/08/2010,Erechim,ARTHUR PIRES CORONEL
2205,618.7,,Maringa,SIMAO DA SILVA
2206,438.4,08/08/2010,Fortaleza,VIRGILIO GARCIA CAPITAO
2207,447.4,09/08/2010,Miguel Pereira,FRANCISCO GOMES PROFESS
2132,335.3,,Porto Velho,JOAO DE SOUZA CAMPOS CO
2110,,,Getulio Vargas,NELSON FERNANDES
1844,369,12/08/2010,,FRANCISCO FERREIRA DE F
2251,,13/08/2010,Belem,TEOFILO SIQUEIRA
2208,585.1,14/08/2010,Brasilia,FRANCISCO MATARAZZO CON
2111,,15/08/2010,Sao Paulo,VERGINIO MELLONI
2061,,16/08/2010,Gravatai,FRANCISCO DOS SANTOS PR
2062,320.6,17/08/2010,Recife,MANOEL DOS REIS ARAUJO 
2112,363.7,18/08/2010,,AGENOR MEDEIROS PROFESS
2133,555.1,19/08/2010,Italva,ABEL DOS REIS
2063,,,Sao Paulo,JOSE FERREIRA DA SILVA
2134,551.4,,,ESTERINA PLACCO
2135,,22/08/2010,Guatapara,SEBASTIAO DE OLIVEIRA R
2064,,23/08/2010,Sao Paulo,LUIZ AUGUSTO DE OLIVEIR
2209,,24/08/2010,Sao Paulo,DOM GASTAO BISPO
2210,,25/08/2010,Nilopolis,JESUINO DE ARRUDA
2065,,26/08/2010,Carmo do Paranaiba,JOSE JULIANO NETO PROFE
2211,436.7,27/08/2010,,ANTONIO ADOLFO LOBBE PR
2136,396.6,,,EDESIO CASTANHO
2066,412,29/08/2010,Sao Paulo,ALVARO GUIAO DOUTOR
2212,474.7,30/08/2010,Aracaju,EUGENIO FRANCO
2113,,31/08/2010,Sao Paulo,SALLES JUNIOR DOUTOR
2137,715.9,01/09/2010,Condeuba,FULVIO MORGANTI
2213,396.7,02/09/2010,,ARLINDO BITTENCOURT PRO
2114,483.6,03/09/2010,,PAULINO BOTELHO ETE
2115,587.5,,Sao Paulo,PIRAJA DA SILVA DOUTOR
2116,,,Salvador,CUNHA BUENO VISCONDE DA
2214,518.5,,Francisco Morato,MARIA RAMOS PROFESSORA
2117,486,07/09/2010,Ananindeua,ANTONIO MILITAO DE LIMA
2118,576.8,,Goiania,PAULINO CARLOS CORONEL
2138,453.6,09/09/2010,Rio de Janeiro,GETULIO LIMA CAPITAO
2139,553.2,10/09/2010,Tramandai,MARIA CAROLINA DE LIMA 
2215,700.7,,,ROBERTO ROBAZZI
2216,761.6,12/09/2010,Curitiba,SYLVIO TORQUATO JUNQUEI
2217,430.7,,Porto Alegre,ADOLFO ALFEU FERRERO
2218,525.4,14/09/2010,Cascavel,
2252,640.3,15/09/2010,Jaboatao dos Guara,MANOEL GOUVEIA DE LIMA
2140,482.8,16/09/2010,Sao Paulo,ELZA MIGUEL FRANCISCO P
2141,658.8,17/09/2010,Cascavel,OSWALDO RIBEIRO JUNQUEI
2142,465.3,18/09/2010,Sao Luis,PEDRO BADRAN ETE
2143,,,Campo Verde,MANOEL MARTINS
2144,556.7,,Barra Mansa,ANTONIO FRANCISCO D AVI
2145,408.4,21/09/2010,Santana dos Garrot,ALCIDIO DE SOUZA PRADO 
2146,567.9,,,FRANCISCO SALES DE ALME
2147,,,,MANOEL SILVEIRA BUENO
2148,454.1,,Rio de Janeiro,GASTAO LIBERAL PINTO DO
2149,472.8,25/09/2010,Presidente Prudent,RIZZIERI POLETTI
2150,407.1,26/09/2010,,9 DE JULHO
2219,,,Nova Vicosa,ANIBAL DO PRADO E SILVA
2151,517.9,28/09/2010,,ANTONIO MORAES BARROS D
2220,432.5,,Pelotas,JOSE INOCENCIO DA COSTA
2152,702.8,,,HENRIQUE MORATO PROF
2153,,01/10/2010,Sao Jose do Rio Pr,CHLORITA DE OLIVEIRA PE
2154,,02/10/2010,,LEOPOLDINO MEIRA DE AND
2155,519.4,03/10/2010,Belem,NELSON ANTONIO ROMAO PA
2156,676.2,04/10/2010,Rio Verde,TEOFILA PINTO DE CAMARG
2157,450.2,,,ROBERTO VELTRE PROF
2158,,06/10/2010,,JOEL MIRANDA CAPITAO
2221,500.1,07/10/2010,Limeira,JOSEPHA MARIA DE OLIVEI
2159,469.2,08/10/2010,Fortaleza,VICTOR MAIDA
2160,394.1,09/10/2010,,CACILDA CALDAS CRUZ DON
2161,535,10/10/2010,Fortaleza,LUCY SALINA FERNANDES G
2162,441.5,11/10/2010,,ANGELO MARTINO PROF
2253,354.8,12/10/2010,Duque de Caxias,JOAO CAETANO DA ROCHA P
1578,382.8,13/10/2010,Brasilia,PEDRO MASCARI
2308,329.4,14/10/2010,Joao Pessoa,ANTONIO COMAR VEREADOR
2309,357.5,,Picos,FELICIA ADELVAIS PAGLIU
2310,451.4,16/10/2010,,VALENTIM GENTIL
2222,540.3,17/10/2010,Sao Jose do Egito,HELENA BORSETTI PROFA
2223,451.5,,,FRANCISCO SILVEIRA COEL
1742,378.8,19/10/2010,Rio de Janeiro,FRAGA MAJOR
1743,792.5,20/10/2010,Uberaba,PLINIO FERRAZ
1802,688.6,21/10/2010,Curitiba,JORGE MATTAR PADRE
1744,445.4,22/10/2010,Serra,CELIA PRIMO CALIL PROFA
1745,394.7,23/10/2010,Itabuna,ANTONIO SERRALVO SOBRIN
1746,315.2,24/10/2010,,ANTONIO XAVIER MENDONCA
2224,436.4,25/10/2010,Pedreiras,AYRTON BUSCH PROF
2254,,,Santa Maria,EDUARDO VELHO FILHO PRO
1845,599.7,,,SEBASTIAO INOC ASSUMPCA
1747,393,28/10/2010,Livramento de Noss,ANIS DABUS DR
2163,,29/10/2010,,LUIZ ZUIANI DR
2225,729.3,30/10/2010,Caxias do Sul,SALVADOR FILARDI
1748,374.1,31/10/2010,Caico,STELA MACHADO
1749,,01/11/2010,Parauapebas,TORQUATO MINHOTO
1750,425.3,02/11/2010,Barueri,JOSE VIRANDA PROF
2255,437.2,,Porto Nacional,RODOLFO MIRANDA SENADOR
1903,,04/11/2010,Resende,BENEDITO GEBARA
1803,442.3,05/11/2010,Passo de Torres,EDUARDO VELHO FILHO PRO
1804,,06/11/2010,Campo Grande,CULT FORMACAO E CULTURA
1904,315.8,,Sao Goncalo,CARLOS CORREA VIANNA PR
2164,495.3,08/11/2010,Natal,FRANCISCO DE PAULA ABRE
2165,459.8,,,HENRIQUE BERTOLUCCI PRO
2256,532.2,10/11/2010,Rio de Janeiro,LUIZ BRAGA PROF
2257,460.3,,Teresina,LUIZ CASTANHO DE ALMEID
2258,410.4,12/11/2010,Sao Bernardo do Ca,MORAIS PACHECO PROF
1684,491.5,13/11/2010,Sao Paulo,SILVERIO SAO JOAO PROF
1846,363.5,14/11/2010,Imperatriz,ANA ROSA ZUICKER D ANNU
2359,,15/11/2010,Serra,CAROLINA LOPES DE ALMEI
2259,509.5,16/11/2010,,MERCEDES PAZ BUENO PROF
1631,,17/11/2010,Sao Jose,VERA CAMPAGNANI PROFA
1905,402.6,18/11/2010,Teixeira de Freita,JOAQUIM DE MICHIELI PRO
1962,518.5,19/11/2010,Rio de Janeiro,JOSE APARECIDO GUEDES D
2166,,,Curitiba,ERNESTO MONTE
1685,,,,GUIA LOPES
2311,401.3,22/11/2010,Valparaiso de Goia,JOAQUIM RODRIGUES MADUR
1751,,23/11/2010,Ceara-Mirim,FRANCISCO ANTUNES PROF
1847,437,,Americana,ASTOR DE MATTOS CARVALH
1579,527.2,25/11/2010,Uberlandia,CHRISTINO CABRAL PROF
1632,433.2,26/11/2010,Jaboatao dos Guara,PRADO MAJOR
1580,,27/11/2010,,TOLENTINO MIRAGLIA DOUT
2360,450.7,28/11/2010,,TULLIO ESPINDOLA DE CAS
2362,462,29/11/2010,Ribeirao Preto,JOAQUIM FERREIRA DO AMA
2361,601.6,30/11/2010,Arapiraca,ANTONIO FERRAZ
1848,401.8,01/12/2010,Fortaleza,ANCHIETA
2260,,02/12/2010,Mage,NEUSA CESTARI FABRI PRO
2226,468.1,03/12/2010,,EUCLYDES MOREIRA DA SIL
2167,674.5,04/12/2010,,IDALINA VIANNA FERRO PR
2168,450.9,05/12/2010,,HENRIQUE MONTENEGRO CAP
1686,646,06/12/2010,Sao Paulo,EDIR HELEN SGAVIOLI FAC
2169,607.9,07/12/2010,Osasco,JOSE ALVES MIRA
1633,651.6,08/12/2010,Santiago,ERASTO CASTANHO DE ANDR
1963,504.3,,Betim,GALVAO FREI
1964,,10/12/2010,Vigia,JOAO PACHECO DE ALMEIDA
2363,,11/12/2010,,MANUEL RODRIGUES FERREI
2227,432.8,12/12/2010,Manaus,CAETANO LOURENCO DE CAM
1752,,13/12/2010,Aguas Lindas de Go,CAETANO PERLATTI
2170,,14/12/2010,Xanxere,DOMINGOS DE MAGALHAES D
1805,,15/12/2010,Juazeiro,LOPES RODRIGUES DOUTOR
1965,584.1,16/12/2010,Medianeira,URIAS FERREIRA PROF ETE
2393,,30/07/2006,Sao Paulo,ALBERTO MENDES JR CAPIT
2394,544.4,31/07/2006,,MARIA ANGELICA SOAVE PR
1587,,,Salvador,JOSE SCARAMELLI PROFESS
2395,581.3,02/08/2006,Ribeirao das Neves,CONRADO SIVILA ALSINA P
1588,418.7,,,ROTARY
1769,,04/08/2006,Sao Vicente,PAULO NOGUEIRA PROFESSO
1589,445.8,,,MARIA HELENA FARIA LIMA
1590,654.3,06/08/2006,Itapipoca,JOSE ALVES DE CERQUEIRA
1855,441,07/08/2006,Gravatai,EMILIA ANNA ANTONIO PRO
1591,470.5,,Sao Jose dos Campo,PLINIO PAULO BRAGA PROF
1694,396.1,09/08/2006,Brasilia,IRMA CELESTE LAR
1638,378.8,10/08/2006,,CORYNTHO BALDOINO COSTA
1592,339,11/08/2006,Campo Mourao,DULCE BREVES NEVES PROF
1593,533.7,12/08/2006,Divinopolis,MARIA HELENA BARBOSA MA
1594,,13/08/2006,Brasilia,MARIA LEONI
1595,428.2,14/08/2006,Paraiso do Norte,VALDIVINO DE CASTRO PER
1695,,15/08/2006,Alvorada,AMARO JOSE DOS SANTOS P
1856,581.6,16/08/2006,,FRANCISCA DE ASSIS FERR
1596,438.7,17/08/2006,Sapiranga,ANTONIO DE RE VEREADOR
1597,457.6,18/08/2006,Salvador,ARY GOMES CORONEL
1598,545.9,19/08/2006,Papagaios,JOSE ROBERTO FRIEBOLIN 
1599,643.5,20/08/2006,Belo Horizonte,FREDERICO DE BARROS BRO
1600,,,,ERICO VERISSIMO
1601,326.4,22/08/2006,Fortaleza,GENOEFA D AQUINO PACITT
1602,,23/08/2006,Curitiba,JUVENAL RAMOS BARBOSA
1603,481.9,24/08/2006,Taboao da Serra,CARLOS MACHADO BITENCOU
